,average,p,otu_id,baseMean,log2FoldChange,pvalue,padj,relative_abund,log2FC_new,rel_abu_new,padj_new
1,0.068,0.001,857cae3c0822cfeb18feba23973fbf9c,2534.26891397241,9.33834522406997,2.08013013276735e-99,5.25960904070223e-96,0.137058190611991,9.33834522406997,0.1,0.001
2,0.012,0.001,1adf4f11edc4fa9ce877975923bf0420,475.951892520048,6.70237235899443,1.64329434623752e-48,2.68069016416876e-46,0.0251910350627034,6.70237235899443,0.0251910350627034,0.001
3,0.012,0.001,c1244b49f9e6969be171225f16de3758,490.650451588633,5.14000026609536,2.30894676056731e-22,4.96865692263356e-21,0.0248789545433178,5.14000026609536,0.0248789545433178,0.001
4,0.01,0.001,dc0f2239562faa6fc02bcaed6bb814cd,377.5957795103,6.56100152488675,9.53084728894305e-46,1.23583319846628e-43,0.0200188554087863,6.56100152488675,0.0200188554087863,0.001
5,0.01,0.001,09b6da1d82a322a61cbdcfd49e59732e,394.035184559143,5.13748496769689,5.54765855591675e-23,1.25243345166388e-21,0.0200071034227007,5.13748496769689,0.0200071034227007,0.001
6,0.009,0.001,c7950a2933edf970e577cb3a0466ba3d,338.588023589716,6.84576530357241,7.08684007012845e-62,2.10812648439056e-59,0.0180340755365435,6.84576530357241,0.0180340755365435,0.001
7,0.008,0.001,5bad57fa3830c1d4c9ba79dbed27091b,315.390604320328,5.47693924932268,1.88158000829249e-25,5.11567209781458e-24,0.016322202896734,5.47693924932268,0.016322202896734,0.001
8,0.008,0.001,f81db63b44977fdafeb3cecd0b057f5a,295.818539151735,5.97652095190484,2.40338219433017e-29,9.00289167165012e-28,0.0156053317455094,5.97652095190484,0.0156053317455094,0.001
9,0.006,0.001,0ed4daf0e2fc52a6e9eab1cc81c5dc73,254.207950887286,4.48682519768303,1.25763589593562e-26,3.87796629618686e-25,0.0125184767336791,4.48682519768303,0.0125184767336791,0.001
10,0.006,0.001,90d981eca9fd7d35f672aff7936dd0c4,258.979322377315,4.20219734133858,1.37339400726706e-18,1.984358141357e-17,0.0124701630131048,4.20219734133858,0.0124701630131048,0.001
