"","b3_BS_1a","b3_BS_2a","b3_BS_3c","b3_RT_1a","b3_RT_1b","b3_RT_2b","b3_RT_2c","b3_RT_3a","b3_RS_1a","b3_RS_2a","b3_RS_3a","b3_RZ_1a","b3_RZ_1c","b3_RZ_2a","b3_RZ_2c","b3_RZ_3b","b3_RZ_3c","b4_BS_1a","b4_BS_2b","b4_BS_3c","b4_RT_1a","b4_RT_1b","b4_RT_2b","b4_RT_2c","b4_RT_3a","b4_RT_3b","b4_RS_1c","b4_RS_2b","b4_RS_3c","b4_RZ_1a","b4_RZ_1b","b4_RZ_2b","b4_RZ_2c","b4_RZ_3a","b4_RZ_3b"
"co_bin.54",0,0.0104234729756109,0,0.0144984247045059,0.0164199136767559,0.00236112716428681,0.0187551644518929,0.00682849215124999,0.00752255975271326,0,0,0,0,0.00523938418096238,0,0.00463246405316487,0.0541023192583407,0,0,0,0.00546921820243913,0.00319932102637603,0.00651412194602315,0.00660596382841372,0.00667404186093627,0.00264292830801211,0,0,0.00505128401740929,0.00256027393469556,0.00480252466713853,0.00299104313383313,0,0.00740394305099005,0.00348677219185789
"co_bin.58",0,0,0.0159560764787354,0.00173981247906183,0,0.00467493197885066,0.0133457214884519,0.0220065935207331,0.00973550430028377,0.00575332035164204,0.0104566155924183,0.00981202263183181,0.0225012602827625,0.0172011960606214,0.00888114523995679,0.067908061463068,0.0225191778401072,0.0202444914141943,0.010608004644774,0,0.00338125909250856,0.012048012087778,0.00843693721045834,0.00412562335619439,0.00555415736550015,0.0048824925291565,0.00975758498841749,0.0173501092549845,0.0163571816136163,0.0221846943379929,0.0324736208370993,0.0287910871084839,0.0510530052520734,0.030764800206056,0.0198055480425341
"co_bin.5",0,0,0,0,0,0,0.00430274324702057,0,0,0.00267331163373758,0,0.00486127421358225,0,0.0101173254622198,0.00870697056974947,0.012358968691967,0.0166962062035963,0,0,0,0,0,0,0,0,0,0.00526998082206072,0,0.00319630401910628,0.0110857475594347,0.00668249816738776,0.0085738502161929,0,0.0125026866881888,0.00370811534774208
"co_bin.63",0,0,0,0,0.0203457210128375,0,0.00316262977581329,0.00652499627830444,0.0105827170460902,0.00325745953929223,0.00830480146406163,0.0048790108726737,0,0.00477084458722047,0,0.0105553672301129,0.00922969700656812,0,0,0,0,0,0.00545732558643349,0.0017776203347794,0.00114218619215595,0.00077930404637032,0.00668684033960811,0.00752454281142289,0.0075861021289603,0.0110224895810432,0.00962664231412483,0.0115612404083633,0.00663344843916741,0.00696301467747868,0.00420808319218093
"co_bin.65",0,0,0,0.00643971186652589,0,0.00210884677710192,0.00814806555651093,0.00203958483543195,0.0123292711566019,0.00386358400737511,0.00586132378308091,0.0169802805189951,0.0103172764727855,0.00772520852119082,0,0.00512013473904444,0.0204877506708236,0,0,0,0,0,0,0,0.00152240033294438,0.00149573072282703,0.00422690202814649,0,0.00680106257938665,0.00636687345553071,0.026321988420266,0.0033007280537805,0,0.00871721974215375,0.00234506281580731
"co_bin.66",0,0,0,0,0.00271269394131193,0.00256212008983415,0.00298900661139411,0.00972597622036456,0,0,0,0,0,0.00410417034251738,0,0,0.0111191972115863,0,0,0,0.00560839980831866,0.00800049098703334,0.00439352766386305,0.00429675832098323,0.00509896436296596,0.0041221808850455,0,0,0.00328213391685083,0.00415367508152331,0.00855155297301057,0.00661867374083745,0,0.00674571950670087,0.0031206370856733
"co_bin.68",0,0,0,0.00825702914514771,0.00541452572283059,0,0.00341766188955697,0.00160557147258487,0.00892277009639693,0.00287200154911238,0,0.00421440833512785,0,0.00814399143582484,0.010213985050657,0.00963411161660325,0.00598734921699657,0,0,0,0.004663572350379,0.00222668963147971,0.00275923987280649,0.00532232861604526,0.00358966134812484,0.00290959599291281,0.00570362867658984,0.00600587462121413,0.00705705035590152,0.00429899205176059,0.00499851956577088,0.00368610893350004,0.00701923497893432,0.00706959252520897,0.00550897614207652
"co_bin.6",0,0.0407567220205382,0.00483556990779476,0,0,0.00186078720951752,0.00456728720752789,0.0476858267541025,0.0165901190088837,0.0224809025978422,0.0152886979223607,0,0,0.0121329050491993,0,0,0,0,0,0.022773834141509,0.00159129400772265,0,0,0.000807090174533343,0.00153552468233039,0.00129804172315948,0.0120888812804509,0.0178088109661167,0.00523299801299391,0.00142434652050522,0,0,0,0,0
"co_bin.70",0,0,0.010737706703806,0.0733576232219343,0.0532146269766278,0.0445430371668325,0.0205763335379147,0.0288957315252926,0.0388493168367148,0.0162748368975132,0.00889850099884122,0,0,0,0,0,0,0,0.00844763662924028,0.00549024345019975,0.0542802766454054,0.0679947472265822,0.0587182618768701,0.0764107608432981,0.0199505214160405,0.0299022019931876,0.0165978194118928,0.0161759279793471,0.0060616076272255,0.00149613608216692,0.00129922761159161,0.00160793870567862,0,0,0
"co_bin.72",0,0,0,0,0,0.0037714493138016,0.00460157985705902,0.00157881604547619,0,0.012134926862693,0.0127356950649844,0,0,0.00590240236001915,0,0.00769463351272295,0.0195028961045086,0,0,0,0.00185678509515969,0.00174442044850589,0.00202685473885645,0.00383151524718187,0.00531186312406331,0.00318441059820462,0.00710959078524408,0.00733545850531814,0.014214939970301,0.00436562804681226,0.00562232769732734,0.00479383577912229,0,0.0051642983382512,0.00522189990274575
"co_bin.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00924800012792209,0,0.0160032114086466,0.0177115502486604,0,0,0,0.00263117719878473,0.00220798591616804,0,0.00234890043818278,0.00173080793147421,0.00150034925085774,0,0,0.00735435693086431,0.009795707845848,0.0165612439716477,0.00545658042661153,0.0193201817895783,0.0257712902785986,0.0184339742881901
"co_bin.8",0,0.050060896578587,0.0527823273911482,0.00251063835818146,0,0.011793176387964,0,0.0449766550333473,0,0.0140685150159658,0.0192138837163087,0,0,0,0,0,0,0,0.00954068631102145,0.0602765477593538,0.0021024286510098,0.00185784581718675,0.0153316619515442,0.00334678702153897,0.0121675421620971,0.0343474180356009,0.0144959242684523,0,0.00845951374117151,0,0.00211363164077139,0,0,0,0
"co_bin.9",0,0,0,0,0,0.00176980367312498,0,0.00187860510610625,0,0.00994088118893985,0.00653735041303829,0,0,0.00200049204263539,0,0.0040871255498007,0.00223972923838511,0,0,0,0.00716850578163353,0.00830245962857597,0.00189437031174219,0.00207142800764936,0,0.00117714430232462,0.00829527593447157,0,0,0.0145216820451959,0.0104027197044582,0.00238485945190214,0.00595183342655802,0,0
"rh_bin.10",0,0,0,0.00181907977187329,0,0,0,0,0.0102444994949786,0,0.00388318277009899,0,0,0.00207030523181727,0,0.00565312568851566,0.00792543387716294,0,0,0,0,0,0,0.00202722225393285,0.000975042470561905,0.00248465058087386,0,0,0.00480723749009727,0.00294431285039922,0.0111618297485101,0.0106943079852819,0.0122066194966865,0.00699619057251648,0.00787332603253281
"rh_bin.15",0,0,0,0,0,0.00130697201389143,0.0233598962429686,0.00144068197136002,0,0.00281583410507564,0.0059864793406485,0,0,0.00627551744542969,0.00684918374801114,0.00935093354618637,0.010632646622135,0,0,0,0.00217009433349535,0.00360674806332516,0.00287818543856602,0.00552961865776166,0.00355911335218392,0.00215624391158742,0.00409865338251639,0.00663437857595176,0.00550307480107107,0.0050252281060235,0.0115302641426048,0.015130416330807,0.00721574139749261,0.00632549956126987,0.0066990840792958
"rh_bin.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118136595699798,0.00681058220967472,0.00868929228949341,0.0112125006069369,0.00537638722815264,0.0136822143597022,0.00814021876472561,0.00318928483277438,0.00590646218937391
"rh_bin.1",0,0,0,0,0,0,0.00952967776367769,0.00137448756360718,0,0.00326521290539153,0,0.0110134717771211,0,0.016902777560418,0,0.00510395023595659,0.0142795761956518,0,0,0,0,0,0,0,0,0.0010552141067612,0,0,0,0.00528196631570706,0.00523680306493322,0.0120113823274901,0,0.0145157101504347,0.00480145132721568
"rh_bin.20",0,0,0,0,0,0,0,0.00153490466055806,0,0.00274936014240959,0.00751845951990324,0,0,0.00264600713862284,0,0,0.0641329821407108,0,0,0,0,0,0.00409962070440739,0.00219638317424874,0,0,0.00508807418948424,0,0,0.00175898937355928,0.00456651178358539,0.00264410141372151,0.00390858318153461,0,0
"rh_bin.21",0,0,0,0,0,0.00236944202595101,0.0144763727008446,0,0.00835427490429173,0.00447600590123438,0.00788313521195737,0.0406692265927001,0.0187088082051662,0.0440738635731201,0.0603357232771452,0.0518214503570676,0.0341661952415012,0,0,0,0.00885564181640251,0.00143175017134029,0.00366026777973107,0.00684004502964302,0.00309861408994046,0.0128129649482106,0.0198303995166684,0.016546481085611,0.0218992205963002,0.0608864749651318,0.0569157116367513,0.0485368901548876,0.0307845911161189,0.0926964802264963,0.0556322427405014
"rh_bin.24",0,0,0,0,0,0,0,0,0,0,0,0.00398016335766141,0,0.00663831584822847,0,0.0141213840162553,0.00601788101165033,0,0,0,0,0,0,0,0,0,0,0.00496697632032312,0,0.0148228837082461,0.00118330233376954,0.00473042469420986,0.0226114044669018,0.00241571553057147,0.00697241230054001
"rh_bin.26",0,0,0,0,0,0,0,0,0,0,0.0036480605705063,0,0,0,0,0,0,0,0,0,0.00129112911819632,0.000835511015516935,0.00257693754234263,0.00168279615019994,0.0014519769795609,0.000679012092476742,0.00601573259797394,0.00899758333737073,0.00365269739146412,0.00453684279405157,0.00550082460648603,0.0101153556095875,0,0.00630565314974146,0
"rh_bin.30",0,0.0121442689285705,0.012147597209324,0,0,0,0.0033180565389899,0,0.0089142955252213,0.00978125046299561,0.0140735402949954,0.00941933281275163,0.017625683697041,0.0106693534477436,0.0158316656266607,0.0160438184923229,0.0120496248295725,0,0,0,0,0,0,0,0,0.00129938102476082,0.0237570511280997,0.00974922884498087,0.00564894413376125,0.00850761816835442,0.0186826246827134,0.00584722347571032,0,0.00412630262678921,0.00251024332534149
"rh_bin.31",0,0,0,0,0,0,0,0,0.00991527643355419,0,0.00388994430598642,0.00473033331404224,0.0106276428871598,0.00310367709385312,0,0.00827318410347628,0.00469580868311949,0,0,0,0,0,0,0,0,0,0,0.0112572392544225,0.00710753740438701,0.00585857831012099,0.00824859198207819,0.00672265727596927,0.0156649116908513,0.00485063393034647,0.00643024602337904
"rh_bin.33",0,0,0.00931089656803148,0,0,0,0,0,0,0.00253708264545223,0,0,0,0.00805677995658784,0,0,0,0,0,0,0,0,0,0,0.00105285651690655,0.00358844829419466,0,0.015967149349094,0.0142074932091775,0.00765377013882094,0.00335148032531985,0.0165651053598672,0.00606130499141668,0.0210850464273747,0.0127934229110927
"rh_bin.35",0,0.0173556254470113,0.0285589531539468,0,0,0.0111860422764546,0.00604518371567677,0.0033802238486178,0,0.010740585623305,0.0149016583886858,0,0,0.00750955052475301,0,0.0100214200448608,0.018408198144973,0.0492638322119396,0.0194296731975215,0,0.00455205805580371,0.00448038228014137,0.00814658900621018,0.00458442320331928,0.00541803236222699,0.00312063106428793,0.00459506703162369,0.00741741949513105,0.00829228951854257,0.00530683857013065,0.00766248118326219,0.0112378528855141,0,0.00478986266136721,0.00398738176573124
"rh_bin.36",0,0,0,0.00523121120155878,0.00955563639714784,0.00293720769030234,0.016414628749051,0.00343987621066783,0.0276413691194621,0.00831384458015754,0.0136255791237631,0.0943310261426988,0.052250123576088,0.0825409475937652,0.103880511014731,0.0851955081502484,0.0501694350324827,0,0,0,0.00375646344446107,0.00151168474832891,0.00656144709825487,0.0106569797839272,0.00667607563416174,0.00420599244315209,0.0156938624799048,0.0224273816456513,0.0146898579270813,0.0667853394075967,0.0296263145009038,0.0424657305324992,0.131593989297984,0.0365236551209066,0.0619797360713502
